Trade number,Type,Date and time,Signal,Price,Size (qty),Size (value),Net PnL NONE,Net PnL %,Favorable excursion NONE,Favorable excursion %,Adverse excursion NONE,Adverse excursion %,Cumulative PnL NONE,Cumulative PnL %
85,Entry long,6/30/2016 10:15,Long,17882.6,24,429182.4,21351.61,4.97,30480.85,7.1,-1686.35,-0.39,365718.47,365.72
86,Exit long,8/1/2016 13:15,Bear flip exit,18679.3,24,455750.4,-7718.42,-1.69,3154.88,0.69,-8191.12,-1.8,358000.03,358
86,Entry long,7/25/2016 14:15,Long,18989.6,24,455750.4,-7718.42,-1.69,3154.88,0.69,-8191.12,-1.8,358000.03,358
87,Exit long,8/26/2016 11:15,Bear flip exit,19188.15,24,454795.2,5445.81,1.2,12905.16,2.84,-2786.04,-0.61,363445.84,363.45
87,Entry long,8/12/2016 13:15,Long,18949.8,24,454795.2,5445.81,1.2,12905.16,2.84,-2786.04,-0.61,363445.84,363.45
88,Exit long,9/12/2016 10:15,Bear flip exit,19817.1,23,447198.2,8324.2,1.86,25911.04,5.79,-1013.91,-0.23,371770.06,371.77
88,Entry long,8/30/2016 10:15,Long,19443.4,23,447198.2,8324.2,1.86,25911.04,5.79,-1013.91,-0.23,371770.06,371.77
89,Exit long,9/26/2016 10:15,Bear flip exit,19745.5,23,463553.5,-9682.31,-2.09,2397.83,0.52,-10655.82,-2.3,362087.75,362.09
89,Entry long,9/16/2016 10:15,Long,20154.5,23,463553.5,-9682.31,-2.09,2397.83,0.52,-10655.82,-2.3,362087.75,362.09
90,Exit long,11/15/2016 12:15,Bear flip exit,19433.3,23,459845.9,-13152.04,-2.86,7138.1,1.55,-16624.35,-3.61,348935.7,348.94
90,Entry long,11/10/2016 10:15,Long,19993.3,23,459845.9,-13152.04,-2.86,7138.1,1.55,-16624.35,-3.61,348935.7,348.94
91,Exit long,1/20/2017 14:15,Bear flip exit,18870.25,24,439206,13412.37,3.05,23298.24,5.3,-1841.76,-0.42,362348.06,362.35
91,Entry long,1/6/2017 10:15,Long,18300.25,24,439206,13412.37,3.05,23298.24,5.3,-1841.76,-0.42,362348.06,362.35
